term,definition
AAA,AAA (Authentication, Authorization, Accounting) is the framework for intelligent network access control, verifying user identity, enforcing permissions, and logging actions for audit trails. Used to centralize access management in RADIUS or TACACS+ servers for scalable enterprise security. Appears in VPN gateways or Wi-Fi controllers during user sessions. Critical for compliance; in DFIR, AAA logs reconstruct access patterns, e.g., tracing anomalous authentications in a lateral movement incident (NIST SP 800-53).
AAL5,Asynchronous Transfer Mode Adaptation Layer 5 (AAL5) encapsulates higher-layer protocols into ATM cells for efficient data transport over WANs. Employed in legacy broadband for multiplexing PDUs with trailers for error detection. Seen in DSL connections during packet segmentation. In cybersecurity, vulnerable to cell interception; DFIR analyzes AAL5 frames in legacy pcap for protocol anomalies in old network breaches (RFC 1483).
ABAC,Attribute-Based Access Control (ABAC) grants access based on dynamic attributes of users, resources, environment, and actions, using policy engines like XACML. Designed for fine-grained, context-aware enforcement in complex ecosystems like clouds. Implemented in IAM systems for just-in-time privileges. Enhances flexibility over RBAC; in DFIR, ABAC audit trails reveal policy evasions, such as location-based bypasses in insider threats (NIST SP 800-162).
Access Control,Access control mediates requests for resources based on policy, using models like DAC or MAC to enforce CIA triad. Essential for preventing unauthorized exposure in multi-tenant environments. Deployed in firewalls, OS kernels, or APIs during every access attempt. Core to zero-trust; in DFIR investigations, control failures in logs pinpoint entry points, e.g., weak ACLs exploited in ransomware propagation (NIST SP 800-53).
Access Control List (ACL),An ACL is a sequential list of permit/deny rules applied to traffic or objects, evaluated top-down until match. Used to filter packets or secure files in routers and NTFS. Configured in network devices for segmentation. Reduces blast radius; DFIR parses ACL changes in configs to detect persistence, like modified shares in APT dwell (CNSSI 4009).
Access Control Policy,Access control policy defines rules for who can access what under which conditions, often formalized in standards like RBAC. Guides implementation of least privilege across organizations. Reviewed in governance audits. Ensures consistent enforcement; in DFIR, policy deviations in event logs signal compromises, such as unauthorized elevations in supply chain attacks (ISO/IEC 27001).
Access Enforcement,Access enforcement is the mechanism applying policy decisions from a PDP to allow/deny requests at the PEP. Real-time evaluation in proxies or gateways. Appears in microservices for API protection. Vital for dynamic environments; DFIR correlates enforcement logs with anomalies, e.g., denied accesses preceding DoS floods (NIST SP 800-53).
Access Pattern,Access pattern refers to recurring user behaviors in data usage, profiled for anomaly detection in UEBA tools. Used to baseline normal activity for threat hunting. Monitored in DLP or SIEM. Detects deviations; in DFIR, unusual patterns like bulk downloads indicate exfiltration, as in credential theft cases (ENISA).
Access Token,An access token is a credential representing authorization scope, issued post-auth for short-lived resource access in OAuth flows. Prevents replay via expiration and scopes. Used in APIs for delegated auth. Secure token management; DFIR examines token artifacts in memory or logs for replay attacks in web app breaches (RFC 6749).
Account Compromise,Account compromise occurs when credentials are stolen or abused, leading to impersonation. Mitigated by MFA and monitoring. Common in phishing campaigns. In ops, detected via UEBA; DFIR timelines account takeovers using login spikes and geolocation mismatches (MITRE ATT&CK T1078).
Account Lockout,Account lockout temporarily disables accounts after failed auth attempts to thwart brute-force. Configurable thresholds in AD or LDAP. Balances security/usability. Prevents offline cracking; in DFIR, lockout events cluster with scans, revealing targeted accounts in spear-phishing (NIST SP 800-53).
