term,definition
access control,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
access control analysis,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
access control management,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
access control monitoring,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
access control policy,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
access control process,"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
account hijacking,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
account hijacking analysis,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
account hijacking management,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
account hijacking monitoring,"Operational practice and tooling for collecting, correlating, and analyzing telemetry from diverse sources to detect, investigate, and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment. and respond to security events; combines automated correlation, alerting, and human analysis to reduce dwell time and support incident containment."
account hijacking policy,"Organizational process or document that defines risk acceptance, controls, and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements. and compliance obligations; it structures responsibilities, assessments, and remediation to ensure security objectives align with business goals and regulatory requirements."
account hijacking process,"Technical concept or practice within cybersecurity and information assurance encompassing preventive, detective, and corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles. corrective measures to protect systems, data, and operations; typically implemented through policies, technologies, and procedures tailored to organizational risk profiles."
acl (access control list),"Mechanism or policy for establishing, verifying, and managing identities and permissions so that entities access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks. access resources appropriate to their roles; includes authentication factors, credential management, provisioning, and lifecycle controls to reduce unauthorized access risks."
