term,definition
AAA,"Authentication, Authorization, and Accounting (AAA) is a framework for intelligently controlling access to computer resources, enforcing policies, auditing usage, and providing the information necessary to bill for services. These combined processes are considered a single security function that is shared across many network devices (NIST IR 7298 Rev. 3)."
AAR,"After Action Report (AAR) – A summary document produced after an incident response, detailing what happened, how it was handled, lessons learned, and recommendations for improvement (NIST SP 800-61 Rev. 2)."
ABAC,"Attribute-Based Access Control (ABAC) – A logical access control model that uses attributes (e.g., user role, object type, time of day) to make dynamic access decisions (NIST SP 800-162)."
Access Control,"Access control is limiting access to information to authorized users, programs, or other systems (ISO/IEC 27000:2022)."
Access Control List (ACL),"Access Control List (ACL) – A list or register containing access control attributes that specifies, for a given system resource, which subjects are granted access to that resource and what operations are allowed on it (NIST IR 7298 Rev. 3)."
Access Pattern Analysis,"Access Pattern Analysis – Monitoring and analyzing patterns of access to detect anomalies that may indicate unauthorized activity (SANS Glossary)."
Access Token,"Access Token – A credential used to access protected resources in OAuth 2.0, representing an authorization issued to the client by the authorization server (RFC 6749)."
Account Harvesting,"Account Harvesting – The process of collecting usernames and passwords from compromised systems or phishing campaigns for later use in attacks (OWASP Cheat Sheet Series)."
Account Lockout,"Account Lockout – A security measure that disables an account after a specified number of unsuccessful authentication attempts to prevent brute force attacks (NIST SP 800-63B)."
Account Takeover (ATO),"Account Takeover (ATO) – A security incident where an unauthorized user gains control of a legitimate user’s account, often through credential stuffing or phishing (OWASP Top 10)."
Active Attack,"Active Attack – An attack that attempts to alter system resources or affect their operation (NIST IR 7298 Rev. 3)."
Active Directory (AD),"Active Directory (AD) – A directory service developed by Microsoft for Windows domain networks that provides a centralized database for user authentication and authorization (Microsoft Documentation, referenced in NIST SP 800-53)."
Active Scanning,"Active Scanning – The process of sending probes to a system or network to discover vulnerabilities or gather information (NIST SP 800-115)."
Address Resolution Protocol (ARP),"Address Resolution Protocol (ARP) – A protocol used to map an IP address to a physical machine address (MAC address) on a local network (RFC 826)."
Address Resolution Protocol Spoofing,"Address Resolution Protocol Spoofing – A type of attack in which an attacker sends forged ARP messages to associate the attacker's MAC address with the IP address of another host, enabling man-in-the-middle attacks (MITRE ATT&CK T1557)."
Adversary Emulation,"Adversary Emulation – The process of simulating an adversary’s tactics, techniques, and procedures (TTPs) to test defensive capabilities (MITRE ATT&CK)."
Adware,"Adware – Software that automatically displays or downloads advertising material (sometimes for a fee to the provider) when a user is online (NIST IR 7298 Rev. 3)."
Advanced Encryption Standard (AES),"Advanced Encryption Standard (AES) – A symmetric block cipher approved by the U.S. National Institute of Standards and Technology (NIST) in FIPS PUB 197, which supersedes the Data Encryption Standard (DES) (NIST IR 7298 Rev. 3)."
Advanced Persistent Threat (APT),"Advanced Persistent Threat (APT) – An adversary that possesses sophisticated levels of expertise and significant resources that allow it to create opportunities to achieve its objectives by using multiple attack vectors (e.g., cyber, physical, or deception) (NIST SP 800-39)."
Air-Gapped Network,"Air-Gapped Network – A network that is physically isolated from other networks, including the Internet, to prevent unauthorized access (NIST SP 800-53)."
Alert Fatigue,"Alert Fatigue – A condition where security personnel become desensitized to alerts due to the high volume of notifications, leading to reduced response effectiveness (SANS Glossary)."
Allowlist,"Allowlist – A list of entities that are permitted by default, opposite to a blocklist (NIST SP 800-179)."
Anomaly Detection,"Anomaly Detection – The process of identifying deviations from normal behavior in a system or network, often indicating potential security incidents (NIST SP 800-94)."
Anti-Forensic Technique,"Anti-Forensic Technique – Methods or tools used to frustrate or impede forensic investigations, such as data wiping, encryption, or log tampering (NIST SP 800-86)."
Antimalware,"Antimalware – Software designed to detect, prevent, and remove malicious software (malware) from a system (NIST SP 800-83)."
Application Allowlisting,"Application Allowlisting – A security control that permits only approved applications to execute on a system, preventing unauthorized or malicious software from running (NIST SP 800-167)."
Application Layer,"Application Layer – The top layer (Layer 7) of the OSI reference model, which provides services to application processes (ISO/IEC 7498-1)."
Application Security,"Application Security – The use of software, hardware, and procedural methods to protect applications from external threats (OWASP)."
Artifact,"Artifact – An object or item created or modified by a subject's activity that may contain evidentiary value in a forensic investigation (NIST SP 800-86)."
Asset,"Asset – Anything that has value to an organization, including information, systems, and physical items (ISO/IEC 27000:2022)."
Asset Management,"Asset Management – The process of identifying, classifying, and controlling assets to ensure their security throughout their lifecycle (ISO/IEC 27001)."
Asymmetric Cryptography,"Asymmetric Cryptography – A cryptographic system using public and private keys where the public key is used for encryption and the private key for decryption (NIST SP 800-57)."
Attack Chain,"Attack Chain – The sequence of stages in a cyber attack, from reconnaissance to exfiltration, often modeled by frameworks like the Cyber Kill Chain (MITRE ATT&CK)."
Attack Surface,"Attack Surface – The sum of all points on the boundary of a system where an unauthorized user can try to enter data to or extract data from the system (OWASP)."
Attack Tree,"Attack Tree – A hierarchical representation of the logical relationships between possible attack paths to a system or asset (NIST SP 800-30)."
Audit Log,"Audit Log – A chronological record of system activities, including user actions, that can be used to trace security-relevant events (ISO/IEC 27001)."
Audit Trail,"Audit Trail – A set of records that collectively provide documentary evidence of an action, procedure, or event, often used for accountability and non-repudiation (NIST IR 7298 Rev. 3)."
Authentication,"Authentication – The process of verifying the identity of a user, device, or other entity (NIST SP 800-63B)."
Authentication Factor,"Authentication Factor – One of three categories of something you know (e.g., password), something you have (e.g., token), or something you are (e.g., biometric) used to verify identity (NIST SP 800-63B)."
Authorization,"Authorization – The process of granting or denying access to a resource based on a verified identity (ISO/IEC 27000:2022)."
Automated Threat,"Automated Threat – Attacks carried out by bots or automated scripts, such as credential stuffing or DDoS (OWASP)."
Backdoor,"Backdoor – A method of bypassing normal authentication or encryption in a system, often left by developers or inserted by attackers (NIST SP 800-82)."
Backup,"Backup – A copy of data or files created for the purpose of recovery in case of loss or corruption (NIST SP 800-53)."
Banner Grabbing,"Banner Grabbing – A technique used to gain information about a remote computer, such as the operating system and version of software it is running, by querying service banners (OWASP)."
Baseline Configuration,"Baseline Configuration – A documented set of specifications for an information system that is used as a basis for change control and security assessments (NIST SP 800-128)."
Bastion Host,"Bastion Host – A strongly protected system that serves as a gateway between a trusted internal network and an untrusted external network (NIST SP 800-41)."
Behavioral Analysis,"Behavioral Analysis – The examination of patterns of user or system behavior to detect anomalies that may indicate compromise (SANS Glossary)."
Behavioral Biometrics,"Behavioral Biometrics – Authentication based on unique behavioral patterns, such as typing rhythm or mouse movements (NIST SP 800-63B)."
Biometric Authentication,"Biometric Authentication – The use of unique physical or behavioral characteristics (e.g., fingerprints, iris scans) to verify identity (NIST SP 800-63B)."
Bit Flipping,"Bit Flipping – An attack that alters specific bits in encrypted data to change its meaning, often in cryptographic protocols (MITRE ATT&CK)."
BitLocker,"BitLocker – A full disk encryption feature included in some versions of Microsoft Windows that uses the Advanced Encryption Standard (AES) algorithm (NIST SP 800-111)."
Black Hat,"Black Hat – An individual who performs unauthorized and malicious actions, often for personal gain or harm (SANS Glossary)."
Blockchain,"Blockchain – A distributed ledger technology that allows for secure, transparent, and immutable recording of transactions across multiple computers (NIST IR 8202)."
