term,definition
"Access Control","Mechanism that restricts access to resources based on identity, roles, or attributes to ensure only authorized entities can interact with them."
"Access Control List (ACL)","A list of permissions attached to an object specifying which subjects can perform which actions on it."
"Access Token","A digital object containing security credentials representing an authorized user or service, commonly used in OAuth 2.0 and OpenID Connect."
"Account Harvesting","The systematic collection of valid usernames or email addresses, often as a precursor to credential stuffing or targeted phishing."
"Account Lockout","Security mechanism that temporarily or permanently disables an account after a defined number of failed login attempts."
"Account Takeover (ATO)","An attack where an attacker gains full control over a legitimate user's account, often via stolen credentials or session hijacking."
"Active Attack","An attack that modifies data or system behavior rather than just passively observing it."
"Active Directory (AD)","Microsoft's directory service for Windows domain networks, widely targeted in enterprise attacks."
"Address Resolution Protocol (ARP) Spoofing","Attack that sends fake ARP messages to associate attacker's MAC address with a victim's IP address."
"Adversary Emulation","Simulating real-world threat actor TTPs to test and improve defensive capabilities (e.g., MITRE Engage, Atomic Red Team)."
"Advanced Persistent Threat (APT)","A prolonged and targeted cyberattack in which an intruder gains and maintains unauthorized access to a network."
"Air-Gapped System","A computer or network physically isolated from external networks, including the Internet."
"Alert Fatigue","Desensitization of analysts to security alerts due to excessive volume or false positives."
"Allowlist (Whitelisting)","Security model that permits only explicitly approved entities and denies everything else."
"Anti-Forensic Technique","Methods used by attackers to hinder or prevent forensic investigation (e.g., timestamp manipulation, log wiping)."
"Application Allowlisting","Restricting execution to only pre-approved applications, a core endpoint protection control."
"Artifact","Any object created or modified by user activity that may serve as digital evidence (file, registry key, log entry, etc.)."
"Attack Surface","The complete set of points where an unauthorized user can try to enter or extract data from a system."
"Attack Tree","Hierarchical model representing possible attack paths toward a specific goal."
"Attribute-Based Access Control (ABAC)","Access control paradigm that evaluates attributes (user, resource, environment) using policies to make decisions."
"Authentication","Process of verifying the identity of a user, device, or entity."
"Authentication Factor","A category of credential: something you know, have, or are (or somewhere you are, something you exhibit)."
"Authorization","Process of determining what an authenticated entity is allowed to do."
"Backdoor","A hidden method for bypassing normal authentication or encryption in a system."
"Banner Grabbing","Technique to gather information about a service by reading its banner or response headers."
"Baseline Configuration","A documented set of secure settings used as a reference for systems."
"Behavioral Analysis","Monitoring user or system behavior to detect deviations from normal patterns."
